,Feature,Importance
0,property_size,0.04087377
1,POOL,0.029627675
2,LIFT,0.021461336
3,bathroom,0.017129745
4,CLUB,0.011486902
5,furnishing_encoded,0.011390116
6,AC,0.010927816
7,PB,0.010184912
8,type,0.007671417
9,cup_board,0.004888886
10,parking_encoded,0.0048649795
11,floor,0.0048518307
12,GP,0.0043714377
13,building_type,0.0030851865
14,GYM,0.002872294
15,SECURITY,0.0024179064
16,FS,0.0021971865
17,water_supply,0.0016385312
18,property_age,0.0014405649
19,STP,0.0014047982
20,RWH,0.0013066342
21,CPA,0.0013003534
22,VP,0.0012710935
23,balconies,0.001245938
24,INTERNET,0.0012442125
25,INTERCOM,0.0011772111
26,SC,0.001019167
27,HK,0.00093126594
28,SERVANT,0.0009002548
29,facing,0.0008280005
30,locality,0.7939887
